406485,94900.86,Abraham Simpson
871378,79964.39,Agnes Skinner
550187,30653.07,Akira Kurosawa
608798,96280.01,Alice Glick
308049,40057.16,Allison Taylor
931514,10109.64,Apu Nahasapeemapetilon
572254,97674.85,Artie Ziff
878214,37182.33,Baby Gerald
929790,76436.27,Barney Gumble
350140,50654.87,Bart Simpson
158483,44332.09,Bernice Hibbert
631517,65247.57,Brandine Spuckler
470884,61290.21,Bumblebee Man
792024,79533.12,Carl Carlson
761697,79886.88,Chazz Busby
253162,50354.90,Cletus Spuckler
740355,66311.99,Comic Book Guy
686803,88232.37,Dewey Largo
554581,40584.89,Disco Stu
926250,98381.31,Dolph Starbeam
276833,70364.57,Drederick Tatum
149100,16614.02,Edna Krabappel
598486,95446.24,Elizabeth Hoover
688380,77146.48,Gil Gunderson
108479,59644.82,Gloria Jailbird
477011,45809.26,Groundskeeper Willie
749313,60565.02,Hans Moleman
637072,86650.42,Helen Lovejoy
936614,37226.03,Herman Hermann
943078,61618.30,Homer Simpson
995718,47685.01,Jacqueline Bouvier
236104,44415.86,Janey Powell
591274,88107.30,Jasper Beardly
448213,33842.61,Jessica Lovejoy
693496,67025.21,Jimbo Jones
639410,38956.53,Johnny Tightlips
285921,61369.33,Judge Roy Snyder
477647,50212.47,Kearney Zzyzwicz
969427,55865.98,Kent Brockman
109635,96730.05,Kirk Van Houten
950247,22674.40,Krusty The Clown
357586,75043.97,Kumiko Albertson
889289,95376.22,Lenny Leonard
521115,73202.88,Lindsey Naegle
839527,17206.80,Ling Bouvier
705255,92182.09,Lionel Hutz
730216,38567.37,Lisa Simpson
170299,70859.09,Luann Van Houten
155002,74713.19,Luigi Risotto
515578,58345.58,Lunchlady Doris
875547,53521.28,Maggie Simpson
261302,79212.81,Manjula Nahasapeemapetilon
999039,50262.05,Marge Simpson
806593,12764.89,Martin Prince
367134,55835.60,Maude Flanders[D]
997032,72657.45,Mayor Joe Quimby
460841,72349.97,Milhouse Van Houten
327106,28263.09,Miss Springfield
353430,82461.16,Moe Szyslak
377870,25264.07,Mona Simpson
495969,68762.86,Ned Flanders
991400,80738.79,Nelson Muntz
960618,58976.99,Old Jewish Man
176719,35185.42,Patty Bouvier
622364,70664.64,Rabbi Hyman Krustofsky
253003,81899.57,Rainier Wolfcastle
665240,34139.50,Ralph Wiggum
821672,38616.66,Rod Flanders
517443,23510.97,Roger Meyers Jr.
724280,17625.92,Ruth Powers
908662,72715.50,Sarah Wiggum
275029,22011.86,Sea Captain
207796,29207.27,Selma Bouvier
718309,36009.33,Seymour Skinner
847792,78318.86,Shauna Chalmers
454283,35733.08,Sideshow Mel
373448,90663.99,Snake Jailbird
638669,34609.82,Squeaky-Voiced Teen
693781,27962.80,Surly Duff
913082,85464.38,The Rich Texan
187174,48791.74,Todd Flanders
402395,12900.05,Troy McClure
102987,32044.48,Uter Zorker
446035,42771.69,Waylon Smithers
771008,61877.93,Wendell Borton
859792,34298.16,Wise Guy
